MUNICIPIO,MUNIC,POPULACAO,TOTAL_PER_CAPITA,COD_IBGE_SMALL,COD_IBGE,UF,TOTAL
CAIRU,CAIRU-BA,14438,3.8544119684,290540,2905404,BA,55650
CAIUÁ,CAIUÁ-SP,5334,0.5997375328,350910,3509106,SP,3199
CAJAMAR,CAJAMAR-SP,62522,6.0781069064,350920,3509205,SP,380015.4
CAJAPIÓ,CAJAPIÓ-MA,10279,1.3084930441,210240,2102408,MA,13450
CAJARI,CAJARI-MA,13203,4.3020525638,210250,2102507,MA,56800
CAJATI,CAJATI-SP,28987,6.3061717322,350925,3509254,SP,182797
CAJAZEIRAS,CAJAZEIRAS-PB,57627,1.0805547747,250370,2503704,PB,62269.13
CAJAZEIRAS DO PIAUÍ,CAJAZEIRAS DO PIAUÍ-PI,3285,4.703196347,220207,2202075,PI,15450
CAJAZEIRINHAS,CAJAZEIRINHAS-PB,3141,1.9745304043,250375,2503753,PB,6202
CAJOBI,CAJOBI-SP,9939,0.0714357581,350930,3509304,SP,710
CAJUEIRO,CAJUEIRO-AL,20670,1.1368403483,270130,2701308,AL,23498.49
CAJUEIRO DA PRAIA,CAJUEIRO DA PRAIA-PI,7183,1.5815119031,220208,2202083,PI,11360
CAJURI,CAJURI-MG,4117,1.4573718727,311020,3110202,MG,6000
CAJURU,CAJURU-SP,24003,0.9082406366,350940,3509403,SP,21800.5
CALÇADO,CALÇADO-PE,11637,0.6685571883,260330,2603306,PE,7780
CALDAS,CALDAS-MG,14491,1.3242695466,311030,3110301,MG,19189.99
CALDAS BRANDÃO,CALDAS BRANDÃO-PB,5513,2.2855069835,250380,2503803,PB,12600
CALDAS NOVAS,CALDAS NOVAS-GO,65970,2.6382311657,520450,5204508,GO,174044.11
CALDAZINHA,CALDAZINHA-GO,3299,6.5228857229,520455,5204557,GO,21519
CALDEIRÃO GRANDE,CALDEIRÃO GRANDE-BA,13697,1.8784755786,290550,2905503,BA,25729.48
CALDEIRÃO GRANDE DO PIAUÍ,CALDEIRÃO GRANDE DO PIAUÍ-PI,5784,13.2872821577,220209,2202091,PI,76853.64
CALIFÓRNIA,CALIFÓRNIA-PR,7765,1.1590470058,410350,4103503,PR,9000
CALMON,CALMON-SC,4194,7.2389127325,420315,4203154,SC,30360
CAMAÇARI,CAMAÇARI-BA,227955,3.8582501371,290570,2905701,BA,879507.41
CAMACHO,CAMACHO-MG,3260,0.9955276074,311040,3110400,MG,3245.42
CAMALAÚ,CAMALAÚ-PB,5922,1.0214454576,250390,2503902,PB,6049
CAMAMU,CAMAMU-BA,32981,0.0591249507,290580,2905800,BA,1950
CAMANDUCAIA,CAMANDUCAIA-MG,20212,3.4505140511,311050,3110509,MG,69741.79
CAMAPUÃ,CAMAPUÃ-MS,13562,0.670992479,500260,5002605,MS,9100
CAMAQUÃ,CAMAQUÃ-RS,62556,3.5747170535,430350,4303509,RS,223620
CAMARAGIBE,CAMARAGIBE-PE,141973,0.3801322787,260345,2603454,PE,53968.52
CAMARGO,CAMARGO-RS,2546,2.3173605656,430355,4303558,RS,5900
CAMBARÁ,CAMBARÁ-PR,24902,0.9476748856,410360,4103602,PR,23599
CAMBARÁ DO SUL,CAMBARÁ DO SUL-RS,7207,0.2417094491,430360,4303608,RS,1742
CAMBÉ,CAMBÉ-PR,96555,0.0910051266,410370,4103701,PR,8787
CAMBIRA,CAMBIRA-PR,7106,1.7454686181,410380,4103800,PR,12403.3
CAMBORIÚ,CAMBORIÚ-SC,56315,1.7407404777,420320,4203204,SC,98029.8
CAMBUCI,CAMBUCI-RJ,14772,1.9302761982,330090,3300902,RJ,28514.04
CAMBUÍ,CAMBUÍ-MG,26070,3.2827771385,311060,3110608,MG,85582
CAMBUQUIRA,CAMBUQUIRA-MG,12909,0.0019366334,311070,3110707,MG,25
CAMETÁ,CAMETÁ-PA,115377,1.2981049949,150210,1502103,PA,149771.46
CAMOCIM,CAMOCIM-CE,60784,0.6942122927,230260,2302602,CE,42197
CAMOCIM DE SÃO FÉLIX,CAMOCIM DE SÃO FÉLIX-PE,16452,1.8868514466,260350,2603504,PE,31042.48
CAMPANÁRIO,CAMPANÁRIO-MG,3728,3.3329184549,311080,3110806,MG,12425.12
CAMPANHA,CAMPANHA-MG,15790,1.5458201393,311090,3110905,MG,24408.5
CAMPESTRE,CAMPESTRE-AL,6187,0.3879101342,270135,2701357,AL,2400
CAMPESTRE,CAMPESTRE-MG,20843,6.9460005757,311100,3111002,MG,144775.49
CAMPESTRE DE GOIÁS,CAMPESTRE DE GOIÁS-GO,3554,0.0562746201,520460,5204607,GO,200
CAMPESTRE DO MARANHÃO,CAMPESTRE DO MARANHÃO-MA,12615,13.631699564,210255,2102556,MA,171963.89
CAMPINA DA LAGOA,CAMPINA DA LAGOA-PR,16329,4.9347982118,410390,4103909,PR,80580.32
CAMPINA DAS MISSÕES,CAMPINA DAS MISSÕES-RS,6419,1.6898488861,430370,4303707,RS,10847.14
CAMPINA DO MONTE ALEGRE,CAMPINA DO MONTE ALEGRE-SP,5532,2.1529284165,350945,3509452,SP,11910
CAMPINA GRANDE,CAMPINA GRANDE-PB,381422,2.3324455066,250400,2504009,PB,889646.03
CAMPINA GRANDE DO SUL,CAMPINA GRANDE DO SUL-PR,36644,1.4276986683,410400,4104006,PR,52316.59
CAMPINA VERDE,CAMPINA VERDE-MG,19207,0.8856354454,311110,3111101,MG,17010.4
CAMPINAÇU,CAMPINAÇU-GO,3892,12.158299075,520465,5204656,GO,47320.1
CAMPINÁPOLIS,CAMPINÁPOLIS-MT,14137,17.6407526349,510260,5102603,MT,249387.32
CAMPINAS,CAMPINAS-SP,1056644,1.217446084,350950,3509502,SP,1286407.1
CAMPINAS DO PIAUÍ,CAMPINAS DO PIAUÍ-PI,5759,8.3101059212,220210,2202109,PI,47857.9
CAMPINAS DO SUL,CAMPINAS DO SUL-RS,5746,6.2130177515,430380,4303806,RS,35700
CAMPINORTE,CAMPINORTE-GO,10010,0.2997002997,520470,5204706,GO,3000
CAMPO ALEGRE,CAMPO ALEGRE-AL,46671,3.9927533158,270140,2701407,AL,186345.79
CAMPO ALEGRE,CAMPO ALEGRE-SC,11715,7.1042953478,420330,4203303,SC,83226.82
CAMPO ALEGRE DE GOIÁS,CAMPO ALEGRE DE GOIÁS-GO,6127,0.3096131875,520480,5204805,GO,1897
CAMPO ALEGRE DE LOURDES,CAMPO ALEGRE DE LOURDES-BA,27686,2.9278335621,290590,2905909,BA,81060
CAMPO ALEGRE DO FIDALGO,CAMPO ALEGRE DO FIDALGO-PI,4579,16.4430006552,220211,2202117,PI,75292.5
CAMPO AZUL,CAMPO AZUL-MG,3982,2.9193872426,311115,3111150,MG,11625
CAMPO BELO,CAMPO BELO-MG,53280,0.2195945946,311120,3111200,MG,11700
CAMPO BELO DO SUL,CAMPO BELO DO SUL-SC,8204,8.9724195514,420340,4203402,SC,73609.73
CAMPO BOM,CAMPO BOM-RS,58915,0.65269456,430390,4303905,RS,38453.5
CAMPO BONITO,CAMPO BONITO-PR,4458,17.8958411844,410405,4104055,PR,79779.66
CAMPO DO BRITO,CAMPO DO BRITO-SE,16612,5.2564218637,280100,2801009,SE,87319.68
CAMPO DO MEIO,CAMPO DO MEIO-MG,11840,2.0570810811,311130,3111309,MG,24355.84
CAMPO ERÊ,CAMPO ERÊ-SC,9802,0.5266578249,420350,4203501,SC,5162.3
CAMPO FLORIDO,CAMPO FLORIDO-MG,6945,0.0287976962,311140,3111408,MG,200
CAMPO FORMOSO,CAMPO FORMOSO-BA,67582,4.6502619041,290600,2906006,BA,314274
CAMPO GRANDE,CAMPO GRANDE-AL,9845,14.1078283393,270150,2701506,AL,138891.57
CAMPO GRANDE,CAMPO GRANDE-MS,747189,6.814616864,500270,5002704,MS,5091806.76
CAMPO GRANDE,CAMPO GRANDE-RN,,,,,RN,100120
CAMPO GRANDE DO PIAUÍ,CAMPO GRANDE DO PIAUÍ-PI,5808,14.1410123967,220213,2202133,PI,82131
CAMPO LARGO,CAMPO LARGO-PR,110796,0.0579082277,410420,4104204,PR,6416
CAMPO LARGO DO PIAUÍ,CAMPO LARGO DO PIAUÍ-PI,6920,8.3200867052,220217,2202174,PI,57575
CAMPO LIMPO DE GOIÁS,CAMPO LIMPO DE GOIÁS-GO,5903,2.6088429612,520485,5204854,GO,15400
CAMPO LIMPO PAULISTA,CAMPO LIMPO PAULISTA-SP,73885,0.9465741355,350960,3509601,SP,69937.63
CAMPO MAGRO,CAMPO MAGRO-PR,23328,2.0858076132,410425,4104253,PR,48657.7199999999
CAMPO MAIOR,CAMPO MAIOR-PI,45827,2.5334737164,220220,2202208,PI,116101.5
CAMPO MOURÃO,CAMPO MOURÃO-PR,85460,4.5069736719,410430,4104303,PR,385165.97
CAMPO NOVO,CAMPO NOVO-RS,5545,0.5998142471,430400,4304002,RS,3325.97
CAMPO NOVO DE RONDÔNIA,CAMPO NOVO DE RONDÔNIA-RO,12790,0.1954652072,110070,1100700,RO,2500
CAMPO NOVO DO PARECIS,CAMPO NOVO DO PARECIS-MT,23230,2.1713732243,510263,5102637,MT,50441
CAMPO REDONDO,CAMPO REDONDO-RN,10793,0.7732799036,240210,2402105,RN,8346.01
CAMPO VERDE,CAMPO VERDE-MT,27151,5.2468781997,510267,5102678,MT,142457.99
CAMPOS ALTOS,CAMPOS ALTOS-MG,13646,1.6821779276,311150,3111507,MG,22955
CAMPOS BELOS,CAMPOS BELOS-GO,18984,4.7667604298,520490,5204904,GO,90492.18
CAMPOS BORGES,CAMPOS BORGES-RS,3671,1.0078997548,430410,4304101,RS,3700
CAMPOS DE JÚLIO,CAMPOS DE JÚLIO-MT,5010,5.2664650699,510268,5102686,MT,26384.99
CAMPOS DO JORDÃO,CAMPOS DO JORDÃO-SP,46332,3.8588988172,350970,3509700,SP,178790.5
CAMPOS DOS GOYTACAZES,CAMPOS DOS GOYTACAZES-RJ,431839,3.2838581045,330100,3301009,RJ,1418098
CAMPOS GERAIS,CAMPOS GERAIS-MG,27853,2.7304419632,311160,3111606,MG,76051
CAMPOS LINDOS,CAMPOS LINDOS-TO,7858,1.3623033851,170384,1703842,TO,10704.98
CAMPOS NOVOS,CAMPOS NOVOS-SC,29199,1.3768457824,420360,4203600,SC,40202.52
CAMPOS NOVOS PAULISTA,CAMPOS NOVOS PAULISTA-SP,4940,0.8360323887,350980,3509809,SP,4130
CAMPOS SALES,CAMPOS SALES-CE,26359,5.61379415,230270,2302701,CE,147974
CAMPOS VERDES,CAMPOS VERDES-GO,6281,1.1272727273,520495,5204953,GO,7080.4
CAMUTANGA,CAMUTANGA-PE,8186,0.4959687271,260360,2603603,PE,4060
CANA VERDE,CANA VERDE-MG,5897,2.0722401221,311190,3111903,MG,12220
CANAÃ,CANAÃ-MG,4798,1.3672363485,311170,3111705,MG,6560
CANAÃ DOS CARAJÁS,CANAÃ DOS CARAJÁS-PA,26135,2.3289841209,150215,1502152,PA,60868
CANABRAVA DO NORTE,CANABRAVA DO NORTE-MT,5514,14.5604153065,510269,5102694,MT,80286.13
CANANÉIA,CANANÉIA-SP,12377,1.6944332229,350990,3509908,SP,20972
CANAPI,CANAPI-AL,18313,8.2051657293,270160,2701605,AL,150261.2
CANÁPOLIS,CANÁPOLIS-BA,11016,1.4152060639,290610,2906105,BA,15589.91
CANÁPOLIS,CANÁPOLIS-MG,11760,6.6836734694,311180,3111804,MG,78600
CANARANA,CANARANA-BA,25557,0.626051571,290620,2906204,BA,16000
CANARANA,CANARANA-MT,17785,6.580039359,510270,5102702,MT,117026
CANAS,CANAS-SP,4662,0.3474903475,350995,3509957,SP,1620
CANAVIEIRA,CANAVIEIRA-PI,4098,11.9521717911,220225,2202251,PI,48980
CANAVIEIRAS,CANAVIEIRAS-BA,36911,0.2382758527,290630,2906303,BA,8795
CANDEAL,CANDEAL-BA,9157,7.6627716501,290640,2906402,BA,70168
CANDEIAS,CANDEIAS-BA,81306,4.3402245837,290650,2906501,BA,352886.3
CANDEIAS,CANDEIAS-MG,16125,1.0839069767,311200,3112000,MG,17478
CANDEIAS DO JAMARI,CANDEIAS DO JAMARI-RO,17147,0.4928284831,110080,1100809,RO,8450.53
CANDELÁRIA,CANDELÁRIA-RS,30369,1.7082715927,430420,4304200,RS,51878.5
CANDIBA,CANDIBA-BA,12766,8.504308319,290660,2906600,BA,108566
CÂNDIDO DE ABREU,CÂNDIDO DE ABREU-PR,18179,4.0002354365,410440,4104402,PR,72720.2799999999
CÂNDIDO GODÓI,CÂNDIDO GODÓI-RS,6762,2.4327062999,430430,4304309,RS,16449.96
CÂNDIDO MOTA,CÂNDIDO MOTA-SP,30662,0.8286804514,351000,3510005,SP,25409
CÂNDIDO RODRIGUES,CÂNDIDO RODRIGUES-SP,2757,6.5285092492,351010,3510104,SP,17999.1
CÂNDIDO SALES,CÂNDIDO SALES-BA,27327,2.1417462583,290670,2906709,BA,58527.5
CANDIOTA,CANDIOTA-RS,8535,6.7386713533,430435,4304358,RS,57514.56
CANELA,CANELA-RS,40449,1.8687730228,430440,4304408,RS,75590
CANELINHA,CANELINHA-SC,10068,0.5959475566,420370,4203709,SC,6000
CANGUARETAMA,CANGUARETAMA-RN,30237,3.2609253564,240220,2402204,RN,98600.6
CANGUÇU,CANGUÇU-RS,55679,2.7692393901,430450,4304507,RS,154188.48
CANHOTINHO,CANHOTINHO-PE,24874,0.036457747,260370,2603702,PE,906.85
CANINDÉ,CANINDÉ-CE,76873,0.0941697345,230280,2302800,CE,7239.11
CANINDÉ DE SÃO FRANCISCO,CANINDÉ DE SÃO FRANCISCO-SE,22534,12.0667098607,280120,2801207,SE,271911.24
CANITAR,CANITAR-SP,4629,3.7558868006,351015,3510153,SP,17386
CANOAS,CANOAS-RS,329903,2.9982628227,430460,4304606,RS,989135.9
CANOINHAS,CANOINHAS-SC,54408,1.4037733422,420380,4203808,SC,76376.5
CANSANÇÃO,CANSANÇÃO-BA,33920,0.277446934,290680,2906808,BA,9411
CANTÁ,CANTÁ-RR,11638,0.6439697543,140017,1400175,RR,7494.52
CANTAGALO,CANTAGALO-MG,4108,8.0387828627,311205,3112059,MG,33023.32
CANTAGALO,CANTAGALO-PR,12750,0.952745098,410445,4104451,PR,12147.5
CANTAGALO,CANTAGALO-RJ,20491,2.6219325558,330110,3301108,RJ,53726.02
CANTANHEDE,CANTANHEDE-MA,19396,2.3097545886,210270,2102705,MA,44800
CANTO DO BURITI,CANTO DO BURITI-PI,20556,3.7228974509,220230,2202307,PI,76527.88
CANUDOS,CANUDOS-BA,15229,1.4826974851,290682,2906824,BA,22580
CANUDOS DO VALE,CANUDOS DO VALE-RS,2001,2.4987506247,430461,4304614,RS,5000
CAPANEMA,CAPANEMA-PA,63799,2.8637627549,150220,1502202,PA,182705.2
CAPÃO ALTO,CAPÃO ALTO-SC,3329,15.4969540403,420325,4203253,SC,51589.36
CAPÃO BONITO,CAPÃO BONITO-SP,46412,1.2560544687,351020,3510203,SP,58296
CAPÃO BONITO DO SUL,CAPÃO BONITO DO SUL-RS,1882,4.1179596174,430462,4304622,RS,7750
CAPÃO DA CANOA,CAPÃO DA CANOA-RS,39928,1.1640703266,430463,4304630,RS,46479
CAPÃO DO CIPÓ,CAPÃO DO CIPÓ-RS,3402,27.4499911817,430465,4304655,RS,93384.87
CAPÃO DO LEÃO,CAPÃO DO LEÃO-RS,24408,1.6662561455,430466,4304663,RS,40669.98
CAPARAÓ,CAPARAÓ-MG,4996,2.2477982386,311210,3112109,MG,11230
CAPELA,CAPELA-AL,17504,1.4756969835,270170,2701704,AL,25830.6
CAPELA,CAPELA-SE,28756,1.6323897621,280130,2801306,SE,46941
CAPELA DE SANTANA,CAPELA DE SANTANA-RS,11478,4.1661055933,430468,4304689,RS,47818.56
CAPELA DO ALTO,CAPELA DO ALTO-SP,16968,1.6755068364,351030,3510302,SP,28430
CAPELA DO ALTO ALEGRE,CAPELA DO ALTO ALEGRE-BA,12748,2.1360684029,290685,2906857,BA,27230.6
CAPELA NOVA,CAPELA NOVA-MG,4693,3.228276156,311220,3112208,MG,15150.3
CAPELINHA,CAPELINHA-MG,34345,0.0334837677,311230,3112307,MG,1150
CAPETINGA,CAPETINGA-MG,7341,0.6811606048,311240,3112406,MG,5000.4
CAPIM,CAPIM-PB,5344,1.3847305389,250403,2504033,PB,7400
CAPIM GROSSO,CAPIM GROSSO-BA,26877,3.3604196897,290687,2906873,BA,90318
CAPINÓPOLIS,CAPINÓPOLIS-MG,15903,2.8663774131,311260,3112604,MG,45584
CAPINZAL,CAPINZAL-SC,18994,0.8273191534,420390,4203907,SC,15714.1
CAPISTRANO,CAPISTRANO-CE,16963,0.3616105642,230290,2302909,CE,6134
CAPITÃO,CAPITÃO-RS,2684,14.4932935917,430469,4304697,RS,38900
CAPITÃO ANDRADE,CAPITÃO ANDRADE-MG,5018,6.6741729773,311265,3112653,MG,33491
CAPITÃO DE CAMPOS,CAPITÃO DE CAMPOS-PI,11142,0.5135980973,220240,2202406,PI,5722.51
CAPITÃO ENÉAS,CAPITÃO ENÉAS-MG,14682,1.7756436453,311270,3112703,MG,26070
CAPITÃO GERVÁSIO OLIVEIRA,CAPITÃO GERVÁSIO OLIVEIRA-PI,3977,7.7445310536,220245,2202455,PI,30800
CAPITÃO LEÔNIDAS MARQUES,CAPITÃO LEÔNIDAS MARQUES-PR,13929,0.7179266279,410460,4104600,PR,10000
CAPITÃO POÇO,CAPITÃO POÇO-PA,52557,3.5367696025,150230,1502301,PA,185882
CAPITÓLIO,CAPITÓLIO-MG,7858,4.408812675,311280,3112802,MG,34644.45
CAPIVARI,CAPIVARI-SP,45915,1.1845366438,351040,3510401,SP,54388
CAPIVARI DE BAIXO,CAPIVARI DE BAIXO-SC,20843,0.3689372931,420395,4203956,SC,7689.76
CAPIVARI DO SUL,CAPIVARI DO SUL-RS,3492,15.3023482245,430467,4304671,RS,53435.8000000001
CAPOEIRAS,CAPOEIRAS-PE,19916,1.3047298654,260380,2603801,PE,25985
CAPUTIRA,CAPUTIRA-MG,9135,1.8307608101,311290,3112901,MG,16724
CARAÁ,CARAÁ-RS,7500,2.5994586667,430471,4304713,RS,19495.94
CARACOL,CARACOL-MS,5257,5.2120981548,500280,5002803,MS,27400
CARACOL,CARACOL-PI,10643,10.1858498544,220250,2202505,PI,108408
CARAGUATATUBA,CARAGUATATUBA-SP,94598,0.3314129263,351050,3510500,SP,31351
CARAÍ,CARAÍ-MG,22278,2.8660561989,311300,3113008,MG,63850
CARAÍBAS,CARAÍBAS-BA,10659,2.3641992682,290689,2906899,BA,25200
CARAMBEÍ,CARAMBEÍ-PR,17301,8.7101572163,410465,4104659,PR,150694.43
CARANDAÍ,CARANDAÍ-MG,23097,0.1225267351,311320,3113206,MG,2830
CARANGOLA,CARANGOLA-MG,33091,1.1404913723,311330,3113305,MG,37740
CARAPEBUS,CARAPEBUS-RJ,11671,0.209922029,330093,3300936,RJ,2450
CARAPICUÍBA,CARAPICUÍBA-SP,388532,0.9937148292,351060,3510609,SP,386090.01
CARATINGA,CARATINGA-MG,84825,0.6712785146,311340,3113404,MG,56941.2
CARAUARI,CARAUARI-AM,25950,0.0578034682,130100,1301001,AM,1500
CARAÚBAS,CARAÚBAS-PB,3929,11.8350725375,250407,2504074,PB,46500
CARAÚBAS,CARAÚBAS-RN,20333,3.5585186642,240230,2402303,RN,72355.36
CARAÚBAS DO PIAUÍ,CARAÚBAS DO PIAUÍ-PI,5526,1.602062975,220253,2202539,PI,8853
CARAVELAS,CARAVELAS-BA,21945,2.5746183641,290690,2906907,BA,56500
CARAZINHO,CARAZINHO-RS,60182,1.5943285368,430470,4304705,RS,95949.88
CARBONITA,CARBONITA-MG,10623,8.006728796,311350,3113503,MG,85055.48
CARDEAL DA SILVA,CARDEAL DA SILVA-BA,8570,2.0868903151,290700,2907004,BA,17884.65
CARDOSO,CARDOSO-SP,11632,1.5151323934,351070,3510708,SP,17624.02
CARDOSO MOREIRA,CARDOSO MOREIRA-RJ,12502,1.9196928491,330115,3301157,RJ,24000
CAREIRO,CAREIRO-AM,32190,12.8296365331,130110,1301100,AM,412986
CAREIRO DA VÁRZEA,CAREIRO DA VÁRZEA-AM,24030,0.4577611319,130115,1301159,AM,11000
CARIACICA,CARIACICA-ES,362277,0.8096754693,320130,3201308,ES,293326.8
CARIDADE DO PIAUÍ,CARIDADE DO PIAUÍ-PI,4715,13.7009544008,220255,2202554,PI,64600
CARINHANHA,CARINHANHA-BA,29988,1.0379151661,290710,2907103,BA,31125
CARIRA,CARIRA-SE,19543,1.9300946631,280140,2801405,SE,37719.84
CARIRÉ,CARIRÉ-CE,19099,1.0314676161,230310,2303105,CE,19700
CARIRI DO TOCANTINS,CARIRI DO TOCANTINS-TO,3672,0.5174291939,170386,1703867,TO,1900
CARIRIAÇU,CARIRIAÇU-CE,27249,0.4660721494,230320,2303204,CE,12700
CARIÚS,CARIÚS-CE,19270,4.6814037364,230330,2303303,CE,90210.65
CARLÓPOLIS,CARLÓPOLIS-PR,13566,5.5415037594,410470,4104709,PR,75176.04
CARLOS BARBOSA,CARLOS BARBOSA-RS,25388,0.276351032,430480,4304804,RS,7016
CARLOS CHAGAS,CARLOS CHAGAS-MG,21302,3.4031546334,311370,3113701,MG,72494
CARLOS GOMES,CARLOS GOMES-RS,1738,1.4384349827,430485,4304853,RS,2500
CARMÉSIA,CARMÉSIA-MG,2671,0.2620741295,311380,3113800,MG,700
CARMO,CARMO-RJ,17784,0.7092330184,330120,3301207,RJ,12613
CARMO DA CACHOEIRA,CARMO DA CACHOEIRA-MG,12028,0.9113792817,311390,3113909,MG,10962.07
CARMO DA MATA,CARMO DA MATA-MG,11358,1.3761181546,311400,3114006,MG,15629.95
CARMO DE MINAS,CARMO DE MINAS-MG,14236,2.1265207924,311410,3114105,MG,30273.15
CARMO DO PARANAÍBA,CARMO DO PARANAÍBA-MG,31843,5.261124894,311430,3114303,MG,167530
CARMO DO RIO CLARO,CARMO DO RIO CLARO-MG,20055,0.7383595113,311440,3114402,MG,14807.8
CARMO DO RIO VERDE,CARMO DO RIO VERDE-GO,9333,3.2079717133,520500,5205000,GO,29940
CARMOLÂNDIA,CARMOLÂNDIA-TO,2383,1.6533780948,170388,1703883,TO,3940
CARMÓPOLIS,CARMÓPOLIS-SE,12317,5.3430705529,280150,2801504,SE,65810.6
CARMÓPOLIS DE MINAS,CARMÓPOLIS DE MINAS-MG,16425,2.6280633181,311450,3114501,MG,43165.94
CARNAÍBA,CARNAÍBA-PE,19035,2.2344144996,260390,2603900,PE,42532.08
CARNAÚBA DOS DANTAS,CARNAÚBA DOS DANTAS-RN,7041,0.8805567391,240240,2402402,RN,6200
CARNAUBAIS,CARNAUBAIS-RN,9578,4.2482605972,240250,2402501,RN,40689.84
CARNAUBAL,CARNAUBAL-CE,16626,3.1436575244,230340,2303402,CE,52266.45
CARNAUBEIRA DA PENHA,CARNAUBEIRA DA PENHA-PE,12270,1.3447432763,260392,2603926,PE,16500
CARNEIRINHO,CARNEIRINHO-MG,9129,19.9755723518,311455,3114550,MG,182357
CARNEIROS,CARNEIROS-AL,8295,3.5973477999,270180,2701803,AL,29840
CAROLINA,CAROLINA-MA,25159,0.1283318097,210280,2102804,MA,3228.7
CARPINA,CARPINA-PE,67727,0.4687938341,260400,2604007,PE,31750
CARRANCAS,CARRANCAS-MG,4158,3.6075036075,311460,3114600,MG,15000
CARRAPATEIRA,CARRAPATEIRA-PB,2345,3.223880597,250410,2504108,PB,7560
CARRASCO BONITO,CARRASCO BONITO-TO,3411,10.2799765465,170389,1703891,TO,35065
CARUARU,CARUARU-PE,294558,1.2500209466,260410,2604106,PE,368203.67
CARVALHÓPOLIS,CARVALHÓPOLIS-MG,3355,6.2573949329,311470,3114709,MG,20993.56
CARVALHOS,CARVALHOS-MG,4739,0.1266089892,311480,3114808,MG,600
CASA BRANCA,CASA BRANCA-SP,28083,0.321582452,351080,3510807,SP,9031
CASA NOVA,CASA NOVA-BA,65747,4.2487094468,290720,2907202,BA,279339.9
CASCALHO RICO,CASCALHO RICO-MG,2911,0.8759876331,311500,3115003,MG,2550
CASCAVEL,CASCAVEL-CE,67002,1.5518544223,230350,2303501,CE,103977.35
CASCAVEL,CASCAVEL-PR,291747,1.2204140231,410480,4104808,PR,356052.13
CASEIROS,CASEIROS-RS,3109,5.9954969444,430495,4304952,RS,18640
CASIMIRO DE ABREU,CASIMIRO DE ABREU-RJ,29811,6.9658823924,330130,3301306,RJ,207659.92
CASSERENGUE,CASSERENGUE-PB,6951,0.2733477198,250415,2504157,PB,1900.04
CÁSSIA,CÁSSIA-MG,17572,1.2428824266,311510,3115102,MG,21839.93
CÁSSIA DOS COQUEIROS,CÁSSIA DOS COQUEIROS-SP,2752,0.2906976744,351090,3510906,SP,800
CASSILÂNDIA,CASSILÂNDIA-MS,21546,0.4344193818,500290,5002902,MS,9360
CASTANHAL,CASTANHAL-PA,159110,1.3781346238,150240,1502400,PA,219275
CASTANHEIRA,CASTANHEIRA-MT,8040,8.903380597,510285,5102850,MT,71583.18
CASTANHEIRAS,CASTANHEIRAS-RO,3737,2.4573187048,110090,1100908,RO,9183
CASTELÂNDIA,CASTELÂNDIA-GO,3590,4.6502841226,520505,5205059,GO,16694.52
CASTELO,CASTELO-ES,33197,0.1506160195,320140,3201407,ES,5000
CASTELO DO PIAUÍ,CASTELO DO PIAUÍ-PI,19082,8.4005801279,220260,2202604,PI,160299.87
CASTILHO,CASTILHO-SP,16064,1.2453311753,351100,3511003,SP,20005
CASTRO,CASTRO-PR,67708,0.8002407396,410490,4104907,PR,54182.7
CASTRO ALVES,CASTRO ALVES-BA,25052,2.9778061632,290730,2907301,BA,74600
CATAGUASES,CATAGUASES-MG,69955,2.0249417483,311530,3115300,MG,141654.8
CATALÃO,CATALÃO-GO,79618,1.6792182672,520510,5205109,GO,133696
CATANDUVA,CATANDUVA-SP,114069,0.4951038407,351110,3511102,SP,56476
CATANDUVAS,CATANDUVAS-SC,9049,0.0994585037,420400,4204004,SC,900
CATARINA,CATARINA-CE,17794,1.9366072834,230360,2303600,CE,34459.99
CATAS ALTAS,CATAS ALTAS-MG,4747,4.8472719612,311535,3115359,MG,23010
CATAS ALTAS DA NORUEGA,CATAS ALTAS DA NORUEGA-MG,3550,26.8793633803,311540,3115409,MG,95421.7400000003
CATENDE,CATENDE-PE,34907,0.5121035895,260420,2604205,PE,17876
CATIGUÁ,CATIGUÁ-SP,7191,0.254472257,351120,3511201,SP,1829.91
CATINGUEIRA,CATINGUEIRA-PB,4986,4.9869634978,250420,2504207,PB,24865
CATOLÂNDIA,CATOLÂNDIA-BA,3972,1.8527190332,290740,2907400,BA,7359
CATOLÉ DO ROCHA,CATOLÉ DO ROCHA-PB,28320,0.229519774,250430,2504306,PB,6500
CATU,CATU-BA,50470,5.5039429364,290750,2907509,BA,277784
CATUÍPE,CATUÍPE-RS,9674,5.4687823031,430500,4305009,RS,52905
CATUJI,CATUJI-MG,6704,2.348597852,311545,3115458,MG,15745
CATUNDA,CATUNDA-CE,11029,7.1629340829,230365,2303659,CE,79000
CATURAÍ,CATURAÍ-GO,4639,5.7167492994,520520,5205208,GO,26520
CATURAMA,CATURAMA-BA,8749,1.714481655,290755,2907558,BA,15000
CATURITÉ,CATURITÉ-PB,4591,9.1386843825,250435,2504355,PB,41955.7
CATUTI,CATUTI-MG,5465,11.7200365965,311547,3115474,MG,64050
CAUCAIA,CAUCAIA-CE,326811,0.7401846939,230370,2303709,CE,241900.5
CAVALCANTE,CAVALCANTE-GO,10290,2.7993887269,520530,5205307,GO,28805.71
CAXAMBU,CAXAMBU-MG,21514,2.1246332621,311550,3115508,MG,45709.36
CAXAMBU DO SUL,CAXAMBU DO SUL-SC,4995,27.4444444444,420410,4204103,SC,137085
