MUNICIPIO,MUNIC,POPULACAO,TOTAL_PER_CAPITA,COD_IBGE_SMALL,COD_IBGE,UF,TOTAL
BOM JESUS,BOM JESUS-RS,12194,0.1123552567,430230,4302303,RS,1370.06
BOM JESUS DA LAPA,BOM JESUS DA LAPA-BA,65148,1.6359888254,290390,2903904,BA,106581.4
BOM JESUS DA PENHA,BOM JESUS DA PENHA-MG,3941,1.6239533113,310760,3107604,MG,6400
BOM JESUS DA SERRA,BOM JESUS DA SERRA-BA,10588,1.2917453721,290395,2903953,BA,13677
BOM JESUS DAS SELVAS,BOM JESUS DAS SELVAS-MA,24661,2.1572523418,210203,2102036,MA,53200
BOM JESUS DE GOIÁS,BOM JESUS DE GOIÁS-GO,20668,0.736636346,520350,5203500,GO,15224.8
BOM JESUS DO AMPARO,BOM JESUS DO AMPARO-MG,5663,5.3877202896,310770,3107703,MG,30510.66
BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA-MT,4696,1.17120954,510185,5101852,MT,5500
BOM JESUS DO GALHO,BOM JESUS DO GALHO-MG,15541,7.7278051605,310780,3107802,MG,120097.82
BOM JESUS DO ITABAPOANA,BOM JESUS DO ITABAPOANA-RJ,35178,1.2909346751,330060,3300605,RJ,45412.5
BOM JESUS DO NORTE,BOM JESUS DO NORTE-ES,9638,1.0772981946,320110,3201100,ES,10383
BOM JESUS DO OESTE,BOM JESUS DO OESTE-SC,2075,14.5421686747,420257,4202578,SC,30175
BOM JESUS DO SUL,BOM JESUS DO SUL-PR,3907,14.2722702841,410315,4103156,PR,55761.76
BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS-PA,13559,2.9574452393,150157,1501576,PA,40100
BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS-TO,2793,22.5603293949,170330,1703305,TO,63011
BOM JESUS DOS PERDÕES,BOM JESUS DOS PERDÕES-SP,17571,1.973422116,350710,3507100,SP,34675
BOM LUGAR,BOM LUGAR-MA,13222,0.9302677356,210207,2102077,MA,12300
BOM PRINCÍPIO,BOM PRINCÍPIO-RS,11532,3.6287946583,430235,4302352,RS,41847.26
BOM PRINCÍPIO DO PIAUÍ,BOM PRINCÍPIO DO PIAUÍ-PI,5429,8.8048406705,220191,2201919,PI,47801.48
BOM PROGRESSO,BOM PROGRESSO-RS,2446,6.2849550286,430237,4302378,RS,15373
BOM REPOUSO,BOM REPOUSO-MG,10806,0.5829576161,310790,3107901,MG,6299.44
BOM RETIRO,BOM RETIRO-SC,8543,1.447383823,420260,4202602,SC,12365
BOM RETIRO DO SUL,BOM RETIRO DO SUL-RS,11555,3.7625798356,430240,4302402,RS,43476.61
BOM SUCESSO,BOM SUCESSO-MG,17750,2.0808461972,310800,3108008,MG,36935.02
BOM SUCESSO,BOM SUCESSO-PB,5299,3.6233251557,250230,2502300,PB,19200
BOM SUCESSO DE ITARARÉ,BOM SUCESSO DE ITARARÉ-SP,3902,28.2984956433,350715,3507159,SP,110420.73
BOMBINHAS,BOMBINHAS-SC,13241,0.8584517786,420245,4202453,SC,11366.76
BONFIM,BONFIM-MG,6904,10.7036008111,310810,3108107,MG,73897.66
BONFIM,BONFIM-RR,10604,2.171821954,140015,1400159,RR,23030
